pharmacy_id,sku,drug_name,form,strength,batch_no,expiry_date,price,qty,min_qty,max_qty
ph001,OTC001,Paracetamol,tablet,500mg,B2025001,2026-12,10.50,500,1,50
ph001,OTC002,Cough Syrup,syrup,100ml,B2025002,2026-06,85.75,100,1,10
ph001,OTC003,Cetirizine,tablet,10mg,B2025003,2027-01,45.20,200,1,30
ph001,OTC009,Ibuprofen,tablet,200mg,B2025011,2026-09,30.00,300,1,40
ph001,OTC010,Oxymetazoline,nasal spray,0.05%,B2025012,2026-05,95.00,120,1,5

ph001,OTC013,Dextromethorphan,syrup,10mg/5ml,B2025015,2026-10,75.00,50,1,10

ph002,OTC001,Paracetamol,tablet,500mg,B2025004,2026-12,11.00,300,1,50
ph002,OTC004,Throat Lozenges,lozenge,1unit,B2025005,2026-03,25.00,150,1,20
ph002,OTC005,Antacid Suspension,liquid,10ml,B2025006,2026-09,65.30,80,1,10
ph002,OTC011,Diphenhydramine,tablet,25mg,B2025013,2027-02,40.00,180,1,20
ph002,OTC012,Phenylephrine,tablet,10mg,B2025014,2026-08,28.00,220,1,30

ph003,OTC001,Paracetamol,tablet,500mg,B2025007,2026-12,10.00,1000,1,100
ph003,OTC006,Vitamin C,chewable,500mg,B2025008,2026-08,120.00,200,1,30
ph003,OTC007,Electrolyte Solution,powder,21.8g,B2025009,2026-11,18.50,500,1,50
ph003,OTC008,Cold Relief Tablet,tablet,combo,B2025010,2026-07,55.90,150,1,20
ph003,OTC013,Dextromethorphan,syrup,10mg/5ml,B2025015,2026-10,75.00,90,1,10

ph004,OTC001,Paracetamol,tablet,500mg,B2025016,2026-12,10.80,400,1,50
ph004,OTC009,Ibuprofen,tablet,200mg,B2025017,2026-09,32.00,250,1,40
ph004,OTC014,Aspirin,tablet,325mg,B2025018,2026-11,22.00,300,1,30

ph005,OTC001,Paracetamol,tablet,500mg,B2025019,2026-12,11.20,350,1,50
ph005,OTC004,Throat Lozenges,lozenge,1unit,B2025020,2026-04,26.00,200,1,20
ph005,OTC012,Phenylephrine,tablet,10mg,B2025021,2026-08,29.00,180,1,30

ph006,OTC001,Paracetamol,tablet,500mg,B2025022,2026-12,10.90,280,1,50
ph006,OTC011,Diphenhydramine,tablet,25mg,B2025023,2027-02,42.00,160,1,20
ph006,OTC006,Vitamin C,chewable,500mg,B2025024,2026-08,118.00,150,1,30

ph007,OTC001,Paracetamol,tablet,500mg,B2025025,2026-12,10.70,320,1,50
ph007,OTC013,Dextromethorphan,syrup,10mg/5ml,B2025026,2026-10,74.00,100,1,10
ph007,OTC009,Ibuprofen,tablet,200mg,B2025027,2026-09,31.00,220,1,40

ph008,OTC001,Paracetamol,tablet,500mg,B2025028,2026-12,11.10,260,1,50
ph008,OTC003,Cetirizine,tablet,10mg,B2025029,2027-01,46.00,180,1,30
ph008,OTC010,Oxymetazoline,nasal spray,0.05%,B2025030,2026-05,96.00,100,1,5

ph009,OTC001,Paracetamol,tablet,500mg,B2025031,2026-12,10.60,400,1,50
ph009,OTC004,Throat Lozenges,lozenge,1unit,B2025032,2026-03,24.50,180,1,20
ph009,OTC014,Aspirin,tablet,325mg,B2025033,2026-11,23.00,220,1,30

ph010,OTC001,Paracetamol,tablet,500mg,B2025034,2026-12,11.30,500,1,50
ph010,OTC006,Vitamin C,chewable,500mg,B2025035,2026-08,122.00,250,1,30
ph010,OTC007,Electrolyte Solution,powder,21.8g,B2025036,2026-11,19.00,400,1,50
ph010,OTC015,Ipratropium,nasal spray,0.03%,B2025037,2026-09,110.00,90,1,5
